Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
101.241783, 0.315560, 0.283644, -0.000920, -0.000954, 0.000000, -57.164734
101.243784, 0.315560, 0.283644, -0.000074, -0.001182, 1.377463, -56.820368
101.245785, 0.315560, 0.283640, -0.000006, -0.000948, 0.000000, -56.820368
101.247785, 0.315560, 0.283637, 0.000000, -0.001190, 0.000000, -57.164734
101.249786, 0.315560, 0.283637, 0.000000, -0.000949, 0.000000, -56.820368
101.251787, 0.315560, 0.283633, 0.000000, -0.000964, 0.000000, -56.820368
101.253787, 0.315560, 0.283629, 0.000682, -0.001017, 1.377463, -57.164734
101.255788, 0.315564, 0.283625, 0.000244, -0.001821, 1.377463, -57.164734
101.257789, 0.315560, 0.283625, 0.000001, -0.001412, 0.000000, -56.820368
101.259790, 0.315560, 0.283621, -0.000244, -0.001081, 1.377463, -57.164734
101.261791, 0.315564, 0.283618, 0.000940, -0.001017, 0.000000, -57.509099
101.263791, 0.315560, 0.283614, -0.000872, -0.001648, 0.000000, -57.509099
101.265792, 0.315560, 0.283614, -0.000872, -0.001648, 0.000000, -57.509099
101.267793, 0.315560, 0.283610, -0.000139, -0.000984, 0.344366, -56.820368
101.269793, 0.315560, 0.283606, -0.000001, -0.001436, 0.000000, -57.164734
101.271793, 0.315560, 0.283603, 0.000000, -0.001019, 0.000000, -56.820368
101.273794, 0.315560, 0.283599, 0.000000, -0.001412, 1.033098, -56.820368
101.275790, 0.315560, 0.283599, 0.000000, -0.001412, 1.033098, -56.820368
101.277799, 0.315560, 0.283595, 0.000000, -0.001017, 0.000000, -57.164734
101.279801, 0.315560, 0.283591, 0.000000, -0.001882, 0.000000, -56.820368
101.281802, 0.315560, 0.283587, 0.000000, -0.001465, 1.377463, -56.476002
101.283804, 0.315560, 0.283584, 0.000000, -0.001667, 0.688732, -56.820368
101.285806, 0.315560, 0.283580, 0.000000, -0.001875, 0.688732, -56.820368
101.287807, 0.315560, 0.283576, 0.000000, -0.001859, 1.377463, -57.509099
101.289808, 0.315564, 0.283572, 0.000943, -0.001773, 1.033098, -57.853465
101.291809, 0.315560, 0.283568, -0.000435, -0.001875, 0.000000, -56.820368
101.293811, 0.315560, 0.283568, -0.000907, -0.001531, 0.000000, -57.509099
101.295812, 0.315560, 0.283565, -0.000140, -0.001767, 0.000000, -56.820368
101.297809, 0.315560, 0.283561, 0.000681, -0.001656, 0.000000, -57.164734
101.299811, 0.315560, 0.283557, 0.000000, -0.001655, 1.377463, -57.164734
101.301815, 0.315560, 0.283553, -0.000682, -0.001890, 1.033098, -57.164734
101.303814, 0.315560, 0.283550, -0.000009, -0.001887, 1.377463, -57.164734
101.305816, 0.315560, 0.283546, 0.000000, -0.001893, 1.377463, -57.164734
101.307816, 0.315560, 0.283542, 0.000000, -0.001895, 1.377463, -57.164734
101.309818, 0.315560, 0.283538, 0.000446, -0.002128, 1.377463, -57.164734
101.311818, 0.315564, 0.283534, 0.000261, -0.002577, 0.000000, -57.509099
101.313820, 0.315560, 0.283527, -0.000444, -0.002257, 0.000000, -57.164734
101.315820, 0.315560, 0.283523, -0.000020, -0.002120, 0.000000, -56.820368
101.317821, 0.315560, 0.283515, 0.000000, -0.002123, 1.377463, -57.509099
101.319821, 0.315560, 0.283515, 0.000000, -0.002373, 1.377463, -57.509099
101.321823, 0.315560, 0.283508, 0.000000, -0.002363, 0.000000, -57.164734
101.323823, 0.315560, 0.283504, 0.000000, -0.002595, 1.377463, -57.509099
101.325824, 0.315560, 0.283497, 0.000000, -0.002142, 1.377463, -57.164734
101.327825, 0.315560, 0.283493, 0.000000, -0.002784, 0.000000, -57.164734
101.329826, 0.315560, 0.283489, 0.000068, -0.002598, 0.000000, -57.509099
101.331826, 0.315560, 0.283481, -0.000872, -0.002772, 0.000000, -57.164734
101.333827, 0.315560, 0.283478, -0.000005, -0.002829, 1.377463, -57.164734
101.335828, 0.315560, 0.283470, -0.000000, -0.002839, 1.377463, -57.164734
101.337828, 0.315560, 0.283466, 0.000000, -0.002603, 1.377463, -57.164734
101.339829, 0.315560, 0.283459, 0.000000, -0.002837, 1.033098, -57.164734
101.341830, 0.315564, 0.283455, 0.000872, -0.002839, 1.377463, -56.476002
101.343830, 0.315560, 0.283447, 0.000005, -0.002839, 1.377463, -56.820368
101.345832, 0.315560, 0.283444, 0.000000, -0.002839, 0.000000, -57.164734
101.347832, 0.315560, 0.283436, -0.000068, -0.002839, 0.000000, -56.820368
101.349833, 0.315560, 0.283432, 0.000000, -0.002821, 1.377463, -56.820368
101.351834, 0.315560, 0.283425, 0.000000, -0.002834, 1.377463, -56.820368
101.353835, 0.315560, 0.283421, 0.000000, -0.002838, 0.000000, -56.476002
101.355835, 0.315560, 0.283417, 0.000000, -0.002711, 0.000000, -57.164734
101.357836, 0.315560, 0.283410, 0.000000, -0.002785, 1.377463, -57.164734
101.359837, 0.315560, 0.283402, 0.000000, -0.002802, 1.033098, -57.164734
101.361837, 0.315560, 0.283402, 0.000806, -0.002771, 0.000000, -57.164734
101.363838, 0.315560, 0.283394, 0.000038, -0.002803, 1.033098, -56.820368
101.365839, 0.315560, 0.283391, -0.000806, -0.002142, 0.000000, -56.820368
101.367839, 0.315560, 0.283387, -0.000003, -0.002644, 0.000000, -57.509099
101.369840, 0.315560, 0.283379, 0.000000, -0.002784, 0.000000, -57.509099
