time,sys_time,session_id,pos_x,pos_y,vel_x,vel_y,fcmd_x,fcmd_y,fs_x,fs_y
0.822190,1765348497.876769,1765348491,0.000537,0.000174,0.000264,0.000939,0.000000,0.000000,-0.344366,0.000000
0.842254,1765348497.896861,1765348491,0.000534,0.000170,-0.000946,-0.000000,0.000000,0.000000,0.000000,-0.344366
0.862252,1765348497.916854,1765348491,0.000537,0.000170,0.000940,0.000000,0.000000,0.000000,0.000000,0.000000
0.882296,1765348497.936914,1765348491,0.000537,0.000170,0.000003,-0.000006,0.000000,0.000000,0.000000,0.000000
0.902313,1765348497.956938,1765348491,0.000537,0.000170,0.000000,-0.000140,0.000000,0.000000,0.000000,0.000000
0.922292,1765348497.976905,1765348491,0.000537,0.000170,0.000872,-0.000945,0.000000,0.000000,0.000000,0.000000
0.942275,1765348497.996878,1765348491,0.000537,0.000170,0.000001,-0.000682,0.000000,0.000000,0.000000,0.000000
0.962244,1765348498.016823,1765348491,0.000537,0.000174,0.000000,0.000943,0.000000,0.000000,0.000000,0.000000
0.982251,1765348498.036831,1765348491,0.000534,0.000170,-0.000925,-0.000907,0.000000,0.000000,0.000000,-0.344366
1.002261,1765348498.056846,1765348491,0.000537,0.000174,0.000935,0.000039,0.000000,0.000000,0.000000,0.000000
1.022247,1765348498.076819,1765348491,0.000537,0.000174,0.000000,0.000946,0.000000,0.000000,0.000000,0.000000
1.042228,1765348498.096795,1765348491,0.000537,0.000170,0.000000,0.000805,0.000000,0.000000,0.000000,0.000000
1.062253,1765348498.116817,1765348491,0.000534,0.000170,-0.000945,-0.000002,0.000000,0.000000,0.000000,0.344366
1.082252,1765348498.136827,1765348491,0.000534,0.000170,-0.000801,-0.000140,0.000000,0.000000,0.000000,0.000000
1.102279,1765348498.156868,1765348491,0.000537,0.000170,0.000000,-0.000946,0.000000,0.000000,0.000000,-0.344366
1.122280,1765348498.176867,1765348491,0.000537,0.000170,0.000000,-0.000925,0.000000,0.000000,0.000000,0.000000
1.142291,1765348498.196881,1765348491,0.000537,0.000170,0.000306,0.000181,0.000000,0.000000,0.000000,0.000000
1.162280,1765348498.216865,1765348491,0.000537,0.000170,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000
1.182299,1765348498.236889,1765348491,0.000537,0.000170,0.000000,-0.000945,0.000000,0.000000,0.000000,0.000000
1.202272,1765348498.256852,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.222283,1765348498.276861,1765348491,0.000534,0.000174,-0.000935,0.000000,0.000000,0.000000,0.000000,0.000000
1.242312,1765348498.296902,1765348491,0.000537,0.000174,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000
1.262273,1765348498.316837,1765348491,0.000537,0.000174,0.000000,0.000264,0.000000,0.000000,0.000000,0.000000
1.282274,1765348498.336838,1765348491,0.000537,0.000174,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000
1.302279,1765348498.356846,1765348491,0.000534,0.000174,-0.000946,0.000000,0.000000,0.000000,0.000000,0.000000
1.322297,1765348498.376872,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.342288,1765348498.396859,1765348491,0.000537,0.000174,0.000000,0.000833,0.000000,0.000000,0.000000,0.000000
1.362308,1765348498.416886,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.382323,1765348498.436903,1765348491,0.000537,0.000174,0.000945,0.000786,0.000000,0.000000,0.000000,0.000000
1.402312,1765348498.456886,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.422390,1765348498.477007,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.688732
1.442376,1765348498.496976,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.462332,1765348498.516916,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
1.482385,1765348498.536985,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.502370,1765348498.556961,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.522367,1765348498.576953,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.542351,1765348498.596927,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.562349,1765348498.616923,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.582373,1765348498.636966,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
1.602383,1765348498.656971,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.622386,1765348498.676975,1765348491,0.000537,0.000174,0.000139,0.000000,0.000000,0.000000,0.000000,-0.344366
